model,MAE,RMSE,MAPE,sMAPE,R2,MASE,train_time_s,fold,subset_name,n_features,train_rows,test_rows,model_key
SARIMA,43.134,50.941,31.319,27.921,0.2071,3.188,49.76,9,top_30,30,54424,2920,arima
SARIMA,67.701,79.697,57.713,93.265,-1.9659,5.276,53.14,10,top_30,30,57344,2920,arima
SARIMA,98.805,115.871,73.66,48.927,-6.5549,7.499,83.87,1,top_50,50,31064,2920,arima
SARIMA,133.823,144.387,90.838,177.53,-10.9516,4.84,49.8,2,top_50,50,33984,2920,arima
SARIMA,105.935,128.419,66.439,117.519,-6.5672,7.376,78.66,3,top_50,50,36904,2920,arima
SARIMA,71.625,86.124,57.615,40.709,-2.9442,6.075,84.76,4,top_50,50,39824,2920,arima
SARIMA,41.681,53.333,23.676,26.897,-0.3883,1.627,58.83,5,top_50,50,42744,2920,arima
SARIMA,112.968,141.438,62.909,108.545,-4.6857,7.604,126.81,6,top_50,50,45664,2920,arima
SARIMA,103.081,108.286,75.048,136.505,-4.5061,8.323,145.17,7,top_50,50,48584,2920,arima
SARIMA,44.166,52.214,29.591,27.76,-0.2931,1.578,86.72,8,top_50,50,51504,2920,arima
SARIMA,43.134,50.941,31.319,27.921,0.2071,3.188,47.28,9,top_50,50,54424,2920,arima
SARIMA,67.701,79.697,57.713,93.265,-1.9659,5.276,52.05,10,top_50,50,57344,2920,arima
SARIMA,98.805,115.871,73.66,48.927,-6.5549,7.499,79.11,1,all,118,31064,2920,arima
SARIMA,133.823,144.387,90.838,177.53,-10.9516,4.84,43.86,2,all,118,33984,2920,arima
SARIMA,105.935,128.419,66.439,117.519,-6.5672,7.376,66.81,3,all,118,36904,2920,arima
SARIMA,71.625,86.124,57.615,40.709,-2.9442,6.075,65.85,4,all,118,39824,2920,arima
SARIMA,41.681,53.333,23.676,26.897,-0.3883,1.627,64.15,5,all,118,42744,2920,arima
SARIMA,112.968,141.438,62.909,108.545,-4.6857,7.604,141.46,6,all,118,45664,2920,arima
SARIMA,103.081,108.286,75.048,136.505,-4.5061,8.323,148.59,7,all,118,48584,2920,arima
SARIMA,44.166,52.214,29.591,27.76,-0.2931,1.578,92.53,8,all,118,51504,2920,arima
SARIMA,43.134,50.941,31.319,27.921,0.2071,3.188,48.17,9,all,118,54424,2920,arima
SARIMA,67.701,79.697,57.713,93.265,-1.9659,5.276,77.39,10,all,118,57344,2920,arima
SARIMA,98.805,115.871,73.66,48.927,-6.5549,7.499,78.77,1,calendar_only,8,31064,2920,arima
SARIMA,133.823,144.387,90.838,177.53,-10.9516,4.84,47.5,2,calendar_only,8,33984,2920,arima
SARIMA,105.935,128.419,66.439,117.519,-6.5672,7.376,66.4,3,calendar_only,8,36904,2920,arima
SARIMA,71.625,86.124,57.615,40.709,-2.9442,6.075,67.69,4,calendar_only,8,39824,2920,arima
SARIMA,41.681,53.333,23.676,26.897,-0.3883,1.627,59.54,5,calendar_only,8,42744,2920,arima
SARIMA,112.968,141.438,62.909,108.545,-4.6857,7.604,126.7,6,calendar_only,8,45664,2920,arima
SARIMA,103.081,108.286,75.048,136.505,-4.5061,8.323,137.58,7,calendar_only,8,48584,2920,arima
SARIMA,44.166,52.214,29.591,27.76,-0.2931,1.578,83.49,8,calendar_only,8,51504,2920,arima
SARIMA,43.134,50.941,31.319,27.921,0.2071,3.188,47.49,9,calendar_only,8,54424,2920,arima
SARIMA,67.701,79.697,57.713,93.265,-1.9659,5.276,52.43,10,calendar_only,8,57344,2920,arima
SARIMA,98.805,115.871,73.66,48.927,-6.5549,7.499,76.99,1,lag_only,7,31064,2920,arima
SARIMA,133.823,144.387,90.838,177.53,-10.9516,4.84,54.78,2,lag_only,7,33984,2920,arima
SARIMA,105.935,128.419,66.439,117.519,-6.5672,7.376,83.39,3,lag_only,7,36904,2920,arima
SARIMA,71.625,86.124,57.615,40.709,-2.9442,6.075,67.69,4,lag_only,7,39824,2920,arima
SARIMA,41.681,53.333,23.676,26.897,-0.3883,1.627,66.94,5,lag_only,7,42744,2920,arima
SARIMA,112.968,141.438,62.909,108.545,-4.6857,7.604,153.84,6,lag_only,7,45664,2920,arima
SARIMA,103.081,108.286,75.048,136.505,-4.5061,8.323,155.18,7,lag_only,7,48584,2920,arima
SARIMA,44.166,52.214,29.591,27.76,-0.2931,1.578,82.26,8,lag_only,7,51504,2920,arima
SARIMA,43.134,50.941,31.319,27.921,0.2071,3.188,60.97,9,lag_only,7,54424,2920,arima
SARIMA,67.701,79.697,57.713,93.265,-1.9659,5.276,57.17,10,lag_only,7,57344,2920,arima
SARIMA,98.805,115.871,73.66,48.927,-6.5549,7.499,93.45,1,zabin_22,22,31064,2920,arima
SARIMA,133.823,144.387,90.838,177.53,-10.9516,4.84,57.67,2,zabin_22,22,33984,2920,arima
SARIMA,105.935,128.419,66.439,117.519,-6.5672,7.376,72.85,3,zabin_22,22,36904,2920,arima
SARIMA,71.625,86.124,57.615,40.709,-2.9442,6.075,71.71,4,zabin_22,22,39824,2920,arima
SARIMA,41.681,53.333,23.676,26.897,-0.3883,1.627,65.73,5,zabin_22,22,42744,2920,arima
SARIMA,112.968,141.438,62.909,108.545,-4.6857,7.604,159.4,6,zabin_22,22,45664,2920,arima
SARIMA,103.081,108.286,75.048,136.505,-4.5061,8.323,164.97,7,zabin_22,22,48584,2920,arima
SARIMA,44.166,52.214,29.591,27.76,-0.2931,1.578,93.01,8,zabin_22,22,51504,2920,arima
SARIMA,43.134,50.941,31.319,27.921,0.2071,3.188,57.42,9,zabin_22,22,54424,2920,arima
SARIMA,67.701,79.697,57.713,93.265,-1.9659,5.276,53.7,10,zabin_22,22,57344,2920,arima
Ridge,5.216,7.083,3.38,3.383,0.9718,0.396,0.05,1,top_5,5,31064,2920,ridge
Ridge,11.405,21.522,7.694,7.471,0.7345,0.412,0.01,2,top_5,5,33984,2920,ridge
Ridge,5.945,7.394,4.235,4.212,0.9749,0.414,0.01,3,top_5,5,36904,2920,ridge
Ridge,4.781,6.321,3.272,3.269,0.9788,0.405,0.0,4,top_5,5,39824,2920,ridge
Ridge,12.796,27.003,8.14,7.735,0.6441,0.5,0.02,5,top_5,5,42744,2920,ridge
Ridge,6.567,8.255,4.345,4.323,0.9806,0.442,0.02,6,top_5,5,45664,2920,ridge
Ridge,5.297,7.044,3.492,3.486,0.9767,0.428,0.02,7,top_5,5,48584,2920,ridge
Ridge,11.627,21.868,7.605,7.32,0.7732,0.415,0.03,8,top_5,5,51504,2920,ridge
Ridge,6.263,7.889,4.218,4.189,0.981,0.463,0.03,9,top_5,5,54424,2920,ridge
Ridge,5.219,7.295,4.521,4.163,0.9752,0.407,0.01,10,top_5,5,57344,2920,ridge
Ridge,4.856,6.813,3.172,3.174,0.9739,0.369,0.02,1,top_10,10,31064,2920,ridge
Ridge,11.239,20.821,7.491,7.348,0.7515,0.406,0.03,2,top_10,10,33984,2920,ridge
Ridge,5.083,6.41,3.708,3.672,0.9811,0.354,0.02,3,top_10,10,36904,2920,ridge
Ridge,4.331,5.814,3.032,3.023,0.982,0.367,0.01,4,top_10,10,39824,2920,ridge
Ridge,12.739,26.218,7.983,7.682,0.6645,0.497,0.03,5,top_10,10,42744,2920,ridge
Ridge,5.373,6.829,3.714,3.672,0.9867,0.362,0.02,6,top_10,10,45664,2920,ridge
Ridge,4.681,6.244,3.199,3.185,0.9817,0.378,0.03,7,top_10,10,48584,2920,ridge
Ridge,11.691,21.079,7.547,7.346,0.7892,0.418,0.02,8,top_10,10,51504,2920,ridge
Ridge,5.034,6.396,3.557,3.512,0.9875,0.372,0.02,9,top_10,10,54424,2920,ridge
