model,subset,n_features,n_folds,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std,R2_mean,R2_std
rnn,lag_only,7,10,11.2803,2.5887,15.8262,4.9031,7.6186,1.6152,0.8731,0.0928
rnn,zabin_22,22,10,11.2803,2.5887,15.8262,4.9031,7.6186,1.6152,0.8731,0.0928
svr,top_30,30,10,3.7345,1.526,6.3626,3.1541,2.7999,1.453,0.9759,0.0236
svr,top_50,50,10,3.945,1.6936,6.6286,3.4011,2.9464,1.6569,0.9736,0.0254
svr,top_10,10,10,4.7172,3.0796,9.6029,7.5497,3.4892,2.1815,0.9282,0.0939
svr,top_20,20,10,5.0327,3.1392,9.4865,6.7728,3.6745,2.2345,0.9344,0.0804
svr,top_5,5,10,5.3091,3.4387,10.4969,8.36,3.7964,2.2288,0.9136,0.1189
svr,lag_only,7,10,5.7102,3.5067,10.9436,8.2238,4.0892,2.3391,0.91,0.1179
svr,all,115,10,6.5737,1.7375,9.372,3.0371,4.7648,2.1303,0.9563,0.0276
svr,zabin_22,22,10,10.677,3.9155,15.6158,6.8145,7.4883,2.5851,0.8645,0.1248
svr,calendar_only,8,10,26.5256,7.7063,34.6261,9.256,18.4344,5.4304,0.3903,0.413
xgb,all,115,10,2.2804,0.7247,3.8055,1.7377,1.7104,0.7842,0.9916,0.008
xgb,top_50,50,10,2.6925,0.9655,4.4019,2.0404,1.9618,0.7939,0.9886,0.0112
xgb,top_30,30,10,3.2391,0.9564,5.1063,2.0065,2.3451,0.8702,0.9854,0.0126
xgb,top_10,10,10,3.9815,1.5214,6.3505,2.9313,2.8137,1.0098,0.9762,0.0229
xgb,top_20,20,10,4.0076,1.4303,6.2857,2.769,2.8414,0.9911,0.9771,0.0215
xgb,top_5,5,10,5.5332,3.2696,9.71,7.4474,3.8116,1.9923,0.9282,0.1002
xgb,lag_only,7,10,5.6807,3.2794,9.8556,7.388,3.9123,2.0077,0.9271,0.1002
xgb,zabin_22,22,10,6.2137,3.737,10.2056,6.9943,4.2705,2.2906,0.9262,0.0955
xgb,calendar_only,8,10,23.7165,7.1187,31.8872,8.6004,15.7339,4.1248,0.4926,0.3172
